ci_tenant_dmn.m_orgnztn_guid,ci_tenant_dmn.m_org_nm,ci_tenant_dmn.m_org_ci_tenant_id,ci_tenant_dmn.m_org_original_id,ci_tenant_dmn.dw_insert_datetime,ci_tenant_dmn.is_active,ci_tenant_dmn.tenant_type
c59fc1d4-3a24-42fc-ba33-f4fa7b735c9a,Case Commons,17006,0010Z00001uLlPHQA0,2021-03-03 22:41:42.0,Y,Enterprise
dd1b398f-2791-45d5-a749-c3c195b9e1c7,Streamoid Technologies,100070,0010Z000029XaRLQA0,2021-03-03 22:41:42.0,Y,Intelligence
2bdc3218-c8eb-4564-af3c-aa5e09487300,Assist,17015,0010Z00001xqUafQAE,2021-03-03 22:41:42.0,N,Enterprise
7352f916-5a2f-43c3-bccb-c3ce743a15de,Vohra Wound Physicians,100125,0013r00002MxMxTAAV,2021-03-03 22:41:42.0,N,Self
d5b31cd9-4fed-4dbb-97a6-af150635fa30,Cloudera,100132,0013r00002TousyAAB,2021-03-03 22:41:42.0,Y,Intelligence
f9968a63-066f-4001-b3dc-93877e26a2d6,MDLIVE,17029,0010Z000026VgBwQAK,2021-03-03 22:41:42.0,N,Enterprise
67b1de5a-d94c-4607-b7d0-bc29ad77a21b,Sales-I,100053,0010Z000027A9xZQAS,2021-03-03 22:41:42.0,Y,Intelligence
e12945c9-fa48-4130-a2bd-a9e186322724,Not provided,100101,0013r00002EsB04AAF,2021-03-03 22:41:42.0,Y,Intelligence
ac0ac4a8-4dd4-413e-ba30-64182307916d,Berry Network,100117,0013r00002KhA0fAAF,2021-03-03 22:41:42.0,Y,Intelligence
dff241a6-b287-4205-aeec-ffa5d531c001,"AccuWeather, Inc.",17012,0013100001jffipAAA,2021-03-03 22:41:42.0,N,Enterprise
40e0634f-6872-4fef-8584-1e12fdbd2aa0,Compstak,17033,0010Z0000279CXuQAM,2021-03-03 22:41:42.0,N,Enterprise
089b06b5-3f7a-42e6-8728-21713c00173e,Apttus,100092,0010Z00002CIq3qQAD,2021-03-03 22:41:42.0,Y,Self
bfb5c031-b32e-4c70-8ffb-fdc47504d771,Square Inc.,17014,0010Z00001x4sATQAY,2021-03-03 22:41:42.0,N,Enterprise
df92eb09-8f56-4309-a278-96b33f8e6ee9,Collective Intelligence,100085,0010Z00002AFg73QAD,2021-03-03 22:41:42.0,Y,Intelligence
fd72ad1d-42e1-4174-9e5e-3694381597cb,SheKnows Media,16009,0013100001g4ivsAAA,2021-03-03 22:41:42.0,N,Enterprise
34f90161-f2a2-4a4b-b593-43785ec9ee3b,Exact Media,17044,0010Z00001walOzQAI,2021-03-03 22:41:42.0,N,Enterprise
7e07c1e9-fbe8-4ace-bc24-8e3f522bb496,RelayHealth Pharmacy,15002,0010Z00001va1D3QAI,2021-03-03 22:41:42.0,N,Enterprise
b2a524da-0b28-4b15-949f-3394cbf9e171,Not provided,100019,0010Z000023GpJXQA0,2021-03-03 22:41:42.0,Y,Intelligence
c40ff6a1-73ec-4aab-8c81-4d80359566df,LT,100122,0013r00002MwrqOAAR,2021-03-03 22:41:42.0,Y,Intelligence
129f86c2-5d3d-42d0-a346-744c34219b12,EY,100028,0010Z000022zeAgQAI,2021-03-03 22:41:42.0,Y,Intelligence
04c9d6c4-4dc2-4322-9755-3a79e40bb9fa,GE,17001,0013100001hwQ68AAE,2021-03-03 22:41:42.0,N,Enterprise
ce1b45bc-25e3-464e-b9e9-b0797d32bfe1,Syntax,17055,0010Z00002Cyh4cQAB,2021-03-03 22:41:42.0,N,Enterprise
250e004a-883c-4405-a1dc-af2e5eece267,Not provided,100027,0010Z000022zZpcQAE,2021-03-03 22:41:42.0,Y,Intelligence
3eb834d5-7c39-4435-8ac2-eb7b47037aa8,Berry Network,100114,0013r00002Kgyi0AAB,2021-03-03 22:41:42.0,Y,Intelligence
eb086a70-4bcc-47e0-bd7e-afd20ed53a81,"ConnectAndSell, Inc.",17028,0010Z000026J4emQAC,2021-03-03 22:41:42.0,Y,Enterprise
5f602841-d39b-45a3-bb8c-58c9e27ed939,1776,100071,0010Z000029Xd3IQAS,2021-03-03 22:41:42.0,Y,Intelligence
a43d64d5-46d8-415a-b9ad-cdac0f19199e,Collective Intelligence,100047,0010Z000026WLcRQAW,2021-03-03 22:41:42.0,N,Intelligence
bca11b95-932e-4a18-92bb-a86a2f260be1,Skaled,17041,0010Z000026LnWiQAK,2021-03-03 22:41:42.0,N,Enterprise
307fb399-09aa-4e94-8f96-50193a2e3dc3,Qlik,17060,0013r00002ErzhNAAR,2021-03-03 22:41:42.0,N,Enterprise
91c24c8e-2829-4eac-958f-6ba6bee9a2fe,,100006,NULL,2021-03-03 22:41:42.0,Y,Self
53136648-c38c-49b1-b0f7-355c9ad9ecdb,Not provided,100126,0013r00002DmYyBAAV,2021-03-03 22:41:42.0,Y,Intelligence
00b5eb8d-a239-406d-b040-efcaceed4a3d,Snowflake,100034,0010Z0000249r6UQAQ,2021-03-03 22:41:42.0,Y,Intelligence
81c579d2-99fe-43f4-a296-3c0c37e40acb,Dynacast,17064,0013r00002MxHIqAAN,2021-03-03 22:41:42.0,Y,Enterprise
99bb0f98-fe54-419d-a4fe-444cff450f19,General Electric,16008,0013100001jDnJ5AAK,2021-03-03 22:41:42.0,N,Enterprise
39709037-2e73-46c8-a98f-21fec24777e2,,14003,NULL,2021-03-03 22:41:42.0,Y,Enterprise
094fc81a-1baa-42bd-a6dc-ce2d6e306fd7,SiriusDecisions,100002,0010Z000022whtLQAQ,2021-03-03 22:41:42.0,Y,Self
b22f1b93-6084-4f9d-879f-71d7b21c980d,Collective Intelligence,100038,0010Z0000256wNCQAY,2021-03-03 22:41:42.0,Y,Intelligence
4343da20-634e-4a07-a459-2b8cb895f1cf,,100057,NULL,2021-03-03 22:41:42.0,Y,Self
9226cf78-6a11-468c-8bac-b0c4709c2108,Collective [i],100017,0010Z000023GJ79QAG,2021-03-03 22:41:42.0,Y,Intelligence
2e707509-714e-4474-87aa-96393dfcc960,Collective Intelligence,100059,0010Z000029Di3cQAC,2021-03-03 22:41:42.0,Y,Intelligence
cd7a4c27-f2b0-4352-9f63-b405c760e621,Not provided,100128,0013r00002Mz1fGAAR,2021-03-03 22:41:42.0,Y,Intelligence
92299b1a-3ac9-4255-b422-128772cf4a04,Entelo,15004,0010Z000023H6BtQAK,2021-03-03 22:41:42.0,N,Enterprise
b189cd37-c178-46d1-aee7-bf834ef297fa,Knowland Group LLC (2nd Org),100007,0010Z00001x4BTEQA2,2021-03-03 22:41:42.0,N,Self
e375031c-e5b9-4b08-8171-ba68c95a1070,Not provided,100032,0010Z000025cWP6QAM,2021-03-03 22:41:42.0,Y,Intelligence
d01c7617-7108-4416-a11c-bed92a604307,NaviTrust,100010,0010Z00001xsrJwQAI,2021-03-03 22:41:42.0,Y,Self
08fb24b5-6dcd-4f40-a9f7-9390ee6d3d2d,Index,100021,0010Z000023H6vcQAC,2021-03-03 22:41:42.0,Y,Intelligence
ebfb1dfd-b0c1-4b31-8f26-987619e88387,Bombora,17017,0010Z00001uJigCQAS,2021-03-03 22:41:42.0,N,Enterprise
ed91aab6-c1db-4c0d-96a9-3504af9b1a0a,Onesource Virtual,17067,0013100001mXVlOAAW,2021-03-03 22:41:42.0,Y,Enterprise
0a67ed87-bbfa-458e-9b8f-e9bade00caf5,"Zer0frixion, llc.",100013,9010Z000020KQzTQAW,2021-03-03 22:41:42.0,Y,Self
bdcf472f-365f-40a1-a7b1-d9d8a4ee024c,Walter & Haverfield,100050,0010Z000026v3a8QAA,2021-03-03 22:41:42.0,Y,Intelligence
8fc59be6-8aa2-4b0c-bf44-0be9fa9bd1b3,EZLynx,17047,0010Z00002C2socQAB,2021-03-03 22:41:42.0,Y,Enterprise
fe7f28ec-c746-458d-ba9c-0772e32eef09,Hirenami,17009,0010Z00001vxroiQAA,2021-03-03 22:41:42.0,N,Enterprise
590c83cd-e546-4f7b-80ea-3cd23c31bfac,Not provided,100089,0010Z00002CGnfTQAT,2021-03-03 22:41:42.0,Y,Intelligence
c3430a47-8138-42dd-94e0-13f9a6c55f47,Bowery Capital,17034,0010Z00002779nSQAQ,2021-03-03 22:41:42.0,N,Enterprise
c3452bff-aa17-46f8-b69a-47765e324f62,CloudFlare Inc.,16007,001i000001EuBZgAAN,2021-03-03 22:41:42.0,N,Enterprise
