revenue_date,revenue,dw_cid,pred_date
2020-02-02,38450.24337543116,17048,2020-02-14
2020-02-03,38450.24337543116,17048,2020-02-14
2020-02-04,38450.24337543116,17048,2020-02-14
2020-02-05,38450.24337543116,17048,2020-02-14
2020-02-06,38450.24337543116,17048,2020-02-14
2020-02-07,38450.24337543116,17048,2020-02-14
2020-02-08,38450.24337543116,17048,2020-02-14
2020-02-09,38450.24337543116,17048,2020-02-14
2020-02-10,38450.24337543116,17048,2020-02-14
2020-02-11,38450.24337543116,17048,2020-02-14
2020-02-12,38450.24337543116,17048,2020-02-14
2020-02-13,38450.24337543116,17048,2020-02-14
2020-02-14,45316.02617896521,17048,2020-02-14
2020-02-15,45285.39104645918,17048,2020-02-14
2020-02-16,44760.4230364395,17048,2020-02-14
2020-02-17,44162.950057829614,17048,2020-02-14
2020-02-18,43991.10136863438,17048,2020-02-14
2020-02-19,43690.85509083618,17048,2020-02-14
2020-02-20,43464.615693269814,17048,2020-02-14
2020-02-21,38928.69048716708,17048,2020-02-14
2020-02-22,38959.03862148725,17048,2020-02-14
2020-02-23,39007.19688252318,17048,2020-02-14
2020-02-24,39002.73006087166,17048,2020-02-14
2020-02-25,39085.149329462794,17048,2020-02-14
2020-02-26,39240.73408567774,17048,2020-02-14
2020-02-27,39444.879525231816,17048,2020-02-14
2020-02-28,51473.27715504615,17048,2020-02-14
2020-02-29,51587.32274550183,17048,2020-02-14
2020-03-01,66861.90868224147,17048,2020-02-14
2020-03-02,66679.98274282603,17048,2020-02-14
2020-03-03,67097.15000071334,17048,2020-02-14
2020-03-04,67110.3751299783,17048,2020-02-14
2020-03-05,67141.51086382802,17048,2020-02-14
2020-03-06,61283.58965278007,17048,2020-02-14
2020-03-07,61632.10685348324,17048,2020-02-14
2020-03-08,62009.691762969305,17048,2020-02-14
2020-03-09,62446.71777462685,17048,2020-02-14
2020-03-10,63072.464725130645,17048,2020-02-14
2020-03-11,63833.72821975651,17048,2020-02-14
2020-03-12,64706.83534233854,17048,2020-02-14
2020-03-13,60426.06146203276,17048,2020-02-14
2020-03-14,61494.21918891964,17048,2020-02-14
2020-03-15,62665.757067282604,17048,2020-02-14
2020-03-16,45558.532625166394,17048,2020-02-14
2020-03-17,45558.532625166394,17048,2020-02-14
2020-03-18,45558.532625166394,17048,2020-02-14
2020-03-19,45558.532625166394,17048,2020-02-14
2020-03-20,49866.26497960061,17048,2020-02-14
2020-03-21,49866.26497960061,17048,2020-02-14
2020-03-22,49866.26497960061,17048,2020-02-14
2020-03-23,49866.26497960061,17048,2020-02-14
2020-03-24,49866.26497960061,17048,2020-02-14
2020-03-25,49866.26497960061,17048,2020-02-14
2020-03-26,49866.26497960061,17048,2020-02-14
2020-03-27,49866.26497960061,17048,2020-02-14
2020-03-28,49866.26497960061,17048,2020-02-14
2020-03-29,49866.26497960061,17048,2020-02-14
2020-03-30,49866.26497960061,17048,2020-02-14
2020-03-31,49866.26497960061,17048,2020-02-14
2020-04-01,104011.27594285583,17048,2020-02-14
2020-04-02,104011.27594285583,17048,2020-02-14
2020-04-03,104011.27594285583,17048,2020-02-14
2020-04-04,104011.27594285583,17048,2020-02-14
2020-04-05,104011.27594285583,17048,2020-02-14
2020-04-06,104011.27594285583,17048,2020-02-14
2020-04-07,104011.27594285583,17048,2020-02-14
2020-04-08,104011.27594285583,17048,2020-02-14
2020-04-09,104011.27594285583,17048,2020-02-14
2020-04-10,104011.27594285583,17048,2020-02-14
2020-04-11,104011.27594285583,17048,2020-02-14
2020-04-12,104011.27594285583,17048,2020-02-14
2020-04-13,104011.27594285583,17048,2020-02-14
2020-04-14,104011.27594285583,17048,2020-02-14
2020-04-15,104011.27594285583,17048,2020-02-14
2020-04-16,104011.27594285583,17048,2020-02-14
2020-04-17,104011.27594285583,17048,2020-02-14
2020-04-18,104011.27594285583,17048,2020-02-14
2020-04-19,104011.27594285583,17048,2020-02-14
2020-04-20,104011.27594285583,17048,2020-02-14
2020-04-21,104011.27594285583,17048,2020-02-14
2020-04-22,104011.27594285583,17048,2020-02-14
2020-04-23,104011.27594285583,17048,2020-02-14
2020-04-24,104011.27594285583,17048,2020-02-14
2020-04-25,104011.27594285583,17048,2020-02-14
2020-04-26,104011.27594285583,17048,2020-02-14
2020-04-27,104011.27594285583,17048,2020-02-14
2020-04-28,104011.27594285583,17048,2020-02-14
2020-04-29,104011.27594285583,17048,2020-02-14
2020-04-30,104011.27594285583,17048,2020-02-14
2020-05-01,10554.7078977642,17048,2020-02-14
2020-05-02,10554.7078977642,17048,2020-02-14
2020-05-03,10554.7078977642,17048,2020-02-14
2020-05-04,10554.7078977642,17048,2020-02-14
2020-05-05,10554.7078977642,17048,2020-02-14
2020-05-06,10554.7078977642,17048,2020-02-14
2020-05-07,10554.7078977642,17048,2020-02-14
2020-05-08,10554.7078977642,17048,2020-02-14
2020-05-09,10554.7078977642,17048,2020-02-14
2020-05-10,10554.7078977642,17048,2020-02-14
2020-05-11,10554.7078977642,17048,2020-02-14
2020-05-12,10554.7078977642,17048,2020-02-14
2020-05-13,10554.7078977642,17048,2020-02-14
2020-05-14,10554.7078977642,17048,2020-02-14
2020-05-15,10554.7078977642,17048,2020-02-14
2020-05-16,10554.7078977642,17048,2020-02-14
2020-05-17,10554.7078977642,17048,2020-02-14
2020-05-18,10554.7078977642,17048,2020-02-14
2020-05-19,10554.7078977642,17048,2020-02-14
2020-05-20,10554.7078977642,17048,2020-02-14
